a52dec 0.8.0-2
abseil-cpp 20240116.2-2
accounts-qml-module 0.7-6
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
adwaita-qt6-git 1.4.1.r29.g0a77436-1
alacritty 0.13.2-2
alembic 1.8.6-2
alsa-card-profiles 1:1.0.7-2
alsa-lib 1.2.11-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
amd-ucode 20240510.b9d2bf23-1
aom 3.9.0-1
appstream 1.0.3-1
archlinux-keyring 20240520-1
argon2 20190702-5
aribb24 1.0.3-3
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica 6.2.0-1
attr 2.5.2-1
audit 4.0.1-3
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-2
ayatana-ido 0.10.2-1
baloo 6.2.0-1
baloo-widgets 24.05.0-1
base 3-2
base-devel 1-1
bash 5.2.026-2
binder_linux-dkms 6.8-1
binutils 2.42+r91+g6224493e457-1
bison 3.8.2-6
blas 3.12.0-5
blender 17:4.1.1-8
blosc 1.21.5-1
bluedevil 1:6.0.5.1-1
blueman 2.4.2-1
bluez 5.76-1
bluez-hid2hci 5.76-1
bluez-libs 5.76-1
bluez-obex 5.76-1
bluez-qt 6.2.0-1
bluez-tools 0.2.0-5
bluez-utils 5.76-1
boost-libs 1.83.0-8
brave-bin 1:1.66.118-1
breeze 6.0.5-1
breeze-icons 6.2.0-1
brightnessctl 0.5.1-2
brotli 1.1.0-2
bubblewrap 0.9.0-1
bzip2 1.0.8-6
c-ares 1.29.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.100-1
ca-certificates-utils 20220905-1
cairo 1.18.0-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-1
capstone 5.0.1-3
cblas 3.12.0-5
cifs-utils 7.0-3
clang 17.0.6-2
cliphist 1:0.5.0-1
cmake 3.29.3-1
cmark 0.31.0-2
compiler-rt 17.0.6-2
composefs 1.0.3-1
convertlit 1.8-11
coreutils 9.5-1
cppdap 1.58.0-1
cryptsetup 2.7.2-1
curl 8.8.0-1
cython 3.0.10-3
dav1d 1.4.2-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-2
dbus-broker-units 36-2
dconf 0.40.0-2
debugedit 5.0-6
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.24-1
diffutils 3.10-1
discord 0.0.54-1
dkms 3.0.12-1
dnsmasq 2.90-1
dolphin 24.05.0-1
dos2unix 7.5.2-2
dotconf 1.4.1-1
double-conversion 3.3.0-1
draco 1.5.6-2
duktape 2.7.0-6
dunst 1.11.0-1
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-7
efibootmgr 18-3
efivar 39-1
electron28 28.3.3-2
ell 0.65-1
embree 4.3.1-1
enchant 2.7.3-2
espeak-ng 1.51.1-2
exiv2 0.28.2-4
expat 2.6.2-1
extra-cmake-modules 6.2.0-1
faad2 2.11.1-1
fakeroot 1.34-1
ffmpeg 2:6.1.1-7
ffmpeg4.4 4.4.4-5
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.9.0-3
firefox 126.0.1-1
fish 3.7.1-2
flac 1.4.3-1
flameshot 12.1.0-3
flatpak 1:1.15.8-1
flex 2.6.4-5
fmt 10.2.0-1
foliate 3.1.1-1
fontconfig 2:2.15.0-2
frameworkintegration 6.2.0-1
freeglut 3.4.0-1
freetype2 2.13.2-1
frei0r-plugins 2.3.2-2
fribidi 1.0.14-1
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fzf 0.52.0-1
gamemode 1.8.1-2
gawk 5.3.0-1
gc 8.2.6-1
gcc 14.1.1+r58+gfc9fb69ad62-1
gcc-libs 14.1.1+r58+gfc9fb69ad62-1
gdb 14.2-2
gdb-common 14.2-2
gdbm 1.23-2
gdk-pixbuf2 2.42.12-1
gendesk 1.0.10-1
genymotion 3.7.1-1
geoclue 2.7.1-3
gettext 0.22.5-1
ghc-filesystem 1.5.14-1
giflib 5.2.2-1
git 2.45.2-1
git-lfs 3.5.1-1
gjs 2:1.80.2-2
glew 2.2.0-6
glfw 3.4-2
glib-networking 1:2.80.0-1
glib2 2.80.2-2
glibc 2.39+r52+gf8e4623421-1
glibmm 2.66.7-1
glibmm-2.68 2.80.0-1
glslang 14.1.0-1
glu 9.0.3-1
gmp 6.3.0-2
gn 0.2165.f284b6b4-1
gnu-free-fonts 20120503-8
gnupg 2.4.5-1
gnutls 3.8.5-1
gobject-introspection 1.80.1-3
gobject-introspection-runtime 1.80.1-3
google-chrome-wayland-vulkan 125.0.6422.141-1
gparted 1.6.0-1
gperf 3.1-5
gperftools 2.15-1
gpgme 1.23.2-4
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.10-1
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
grim 1.4.1-1
grimshot 1.9-1
groff 1.23.0-5
gsettings-desktop-schemas 46.0-1
gsm 1.0.22-1
gssdp 1.6.3-1
gst-plugin-pipewire 1:1.0.7-2
